Phi,P,variable,value,SE
0.7,0.01,Non resident,1,0.00E+00
0.7,0.1,Non resident,1,0.00E+00
0.7,0.2,Non resident,1,0.00E+00
0.7,0.3,Non resident,1,0.00E+00
0.7,0.4,Non resident,0.99995,5.00E-04
0.7,0.5,Non resident,1,0.00E+00
0.7,0.6,Non resident,1,0.00E+00
0.7,0.7,Non resident,1,0.00E+00
0.7,0.8,Non resident,0.999963504,0.000364964
0.7,0.9,Non resident,1,0.00E+00
0.7,1,Non resident,0.999966667,0.000333333
0.75,0.01,Non resident,1,0
0.75,0.1,Non resident,1,0
0.75,0.2,Non resident,1,0
0.75,0.3,Non resident,1,0
0.75,0.4,Non resident,1,0
0.75,0.5,Non resident,1,0
0.75,0.6,Non resident,1,0
0.75,0.7,Non resident,0.999886925,0.000646243
0.75,0.8,Non resident,1,0
0.75,0.9,Non resident,0.999965157,0.000348432
0.75,1,Non resident,0.9999,0.000571489
0.8,0.01,Non resident,1,0
0.8,0.1,Non resident,1,0
0.8,0.2,Non resident,0.999937107,0.000628931
0.8,0.3,Non resident,0.999900458,0.000700445
0.8,0.4,Non resident,1,0
0.8,0.5,Non resident,0.999717148,0.001036382
0.8,0.6,Non resident,0.99965263,0.001110444
0.8,0.7,Non resident,0.999487445,0.001277158
0.8,0.8,Non resident,0.999788061,0.000843209
0.8,0.9,Non resident,0.999658799,0.001028793
0.8,1,Non resident,0.999333333,0.00164122
0.85,0.01,Non resident,1,0
0.85,0.1,Non resident,1,0
0.85,0.2,Non resident,1,0
0.85,0.3,Non resident,0.999668521,0.001215613
0.85,0.4,Non resident,0.999292963,0.001767876
0.85,0.5,Non resident,0.998942622,0.00199752
0.85,0.6,Non resident,0.998479236,0.002526574
0.85,0.7,Non resident,0.998277277,0.002477701
0.85,0.8,Non resident,0.997734849,0.002690797
0.85,0.9,Non resident,0.997555038,0.002686939
0.85,1,Non resident,0.997666667,0.002782824
0.9,0.01,Non resident,1,0
0.9,0.1,Non resident,1,0
0.9,0.2,Non resident,0.999646317,0.001295943
0.9,0.3,Non resident,0.998150444,0.002686341
0.9,0.4,Non resident,0.995407013,0.004461058
0.9,0.5,Non resident,0.991723854,0.005060399
0.9,0.6,Non resident,0.990151298,0.004893191
0.9,0.7,Non resident,0.990678596,0.004920615
0.9,0.8,Non resident,0.986947823,0.006686876
0.9,0.9,Non resident,0.988513774,0.006465279
0.9,1,Non resident,0.9885,0.006485328
0.95,0.01,Non resident,1,0
0.95,0.1,Non resident,0.99993865,0.000613497
0.95,0.2,Non resident,0.999305982,0.001899741
0.95,0.3,Non resident,0.994922506,0.004695948
