"Phi","P","variable","value","SE"
".70",".01","TRS",0.992318722943723,0.0275053320248064
".70",".1","TRS",0.881922986025699,0.0383146206346158
".70",".2","TRS",0.792142759264655,0.0351114119166505
".70",".3","TRS",0.725412368303779,0.0340071606249243
".70",".4","TRS",0.686292870457918,0.0296879798154509
".70",".5","TRS",0.643217113831361,0.0305104967037451
".70",".6","TRS",0.614759170620507,0.0288070560715845
".70",".7","TRS",0.588753167610986,0.0308855653906406
".70",".8","TRS",0.565998655295982,0.0288157435529212
".70",".9","TRS",0.554563267542598,0.0289396648345198
".70","1","TRS",0.544733333333333,0.0262474625998265
".75",".01","TRS",0.986092930762048,0.0357649301664757
".75",".1","TRS",0.844156904238665,0.0402642591193893
".75",".2","TRS",0.744013520589797,0.0394096143532605
".75",".3","TRS",0.66889281053335,0.037878497967655
".75",".4","TRS",0.622204041862376,0.035847141737951
".75",".5","TRS",0.578940485712231,0.0307723778350253
".75",".6","TRS",0.550941655677684,0.0305642688585636
".75",".7","TRS",0.528488924718269,0.0294024733540942
".75",".8","TRS",0.508243658672335,0.0314703648649942
".75",".9","TRS",0.490921985674639,0.0289230257975601
".75","1","TRS",0.4826,0.0284014036737576
".80",".01","TRS",0.974669356859843,0.0400667532573063
".80",".1","TRS",0.80045984608881,0.041496567763222
".80",".2","TRS",0.673443404829383,0.038042205183358
".80",".3","TRS",0.604859631075225,0.0334787117606488
".80",".4","TRS",0.545020233658696,0.0325052730129493
".80",".5","TRS",0.508811720853263,0.0302351999830205
".80",".6","TRS",0.477805412043418,0.028796587834093
".80",".7","TRS",0.451291627440342,0.0305667663242507
".80",".8","TRS",0.433023473993832,0.0298109479270203
".80",".9","TRS",0.420203130836888,0.0286098969842835
".80","1","TRS",0.4119,0.0283407793741299
".85",".01","TRS",0.964245460793226,0.048087493313392
".85",".1","TRS",0.736488483620926,0.047442633020488
".85",".2","TRS",0.600671174625046,0.0386551686546096
".85",".3","TRS",0.517695255233155,0.033012670007278
".85",".4","TRS",0.461771680020476,0.0309925045659781
".85",".5","TRS",0.420395499779359,0.0337718726795305
".85",".6","TRS",0.391623549173189,0.0325858136761216
".85",".7","TRS",0.373054814131462,0.0285733257399519
".85",".8","TRS",0.358373417952916,0.025765672173914
".85",".9","TRS",0.345242267063925,0.028346159962197
".85","1","TRS",0.3369,0.0265665418295484
".90",".01","TRS",0.952326928341191,0.0482240531993532
".90",".1","TRS",0.645893134999802,0.042201000900055
".90",".2","TRS",0.497817190461267,0.0381420733927448
".90",".3","TRS",0.413151842878719,0.0305008926125443
".90",".4","TRS",0.36102479967578,0.0299835303958232
".90",".5","TRS",0.327059498174379,0.0297011444893217
".90",".6","TRS",0.308282980828874,0.0284735193193412
".90",".7","TRS",0.282286217065243,0.0273837758216998
".90",".8","TRS",0.273138416694202,0.0257140703930217
".90",".9","TRS",0.264637162832007,0.0280107509642793
".90","1","TRS",0.259633333333333,0.0274010616914415
".95",".01","TRS",0.918373479590166,0.0519186470168591
".95",".1","TRS",0.522645431409844,0.0411192074564761
".95",".2","TRS",0.363842040872032,0.0286637756462778
".95",".3","TRS",0.287677597054479,0.0269183836334874
".95",".4","TRS",0.240853865810782,0.0248425714753882
".95",".5","TRS",0.212391236812123,0.0218664436325894
".95",".6","TRS",0.19874215184957,0.0224149916729086
".95",".7","TRS",0.183682499081855,0.027026233810353
".95",".8","TRS",0.178017429956818,0.0244607025158176
".95",".9","TRS",0.170446244490196,0.0204383207004696
".95","1","TRS",0.170633333333333,0.0230438755859383
"1",".01","TRS",0.896803432779747,0.0426709789028989
"1",".1","TRS",0.324488201598819,0.0281176409098528
"1",".2","TRS",0.164832059317729,0.0231064302499763
"1",".3","TRS",0.1267229270357,0.0199525029590154
"1",".4","TRS",0.0972158845000493,0.0156274849626385
"1",".5","TRS",0.0915299559790887,0.017913489948219
"1",".6","TRS",0.08408982483415,0.0171863407585572
"1",".7","TRS",0.0824144847185226,0.0188036156527348
"1",".8","TRS",0.0784072942320555,0.0159429988539948
"1",".9","TRS",0.0744891380895466,0.016359066417585
"1","1","TRS",0.0731,0.0157081619680031
".70",".01","OCV",0.00768127705627706,0.0275053320248064
".70",".1","OCV",0.113833223732517,0.0370478832644049
".70",".2","OCV",0.180507762183621,0.0350678501260833
".70",".3","OCV",0.214923486881246,0.0296181048848034
".70",".4","OCV",0.219626422040777,0.0277017472290667
".70",".5","OCV",0.22153736350128,0.0275892470849539
".70",".6","OCV",0.204563381366834,0.023245630246721
".70",".7","OCV",0.198779406868467,0.0232955668732716
".70",".8","OCV",0.181984981492307,0.0235139832992682
".70",".9","OCV",0.157478395728206,0.02009596088403
".70","1","OCV",0.135333333333333,0.0173690385941048
".75",".01","OCV",0.0139070692379516,0.0357649301664757
".75",".1","OCV",0.146544497532207,0.0378780923139654
".75",".2","OCV",0.214855074381587,0.0380757159974332
".75",".3","OCV",0.243962596833307,0.0328376967385275
".75",".4","OCV",0.235527215419941,0.030969081480841
".75",".5","OCV",0.227945130649815,0.0258445726922093
".75",".6","OCV",0.21360441720188,0.0278931576342194
".75",".7","OCV",0.192186025469315,0.0245474864656318
".75",".8","OCV",0.170311795472553,0.0206438530004711
".75",".9","OCV",0.155708700807038,0.0228245604367527
".75","1","OCV",0.126466666666667,0.019091721429994
".80",".01","OCV",0.0253306431401565,0.0400667532573063
".80",".1","OCV",0.184492429185814,0.0409752688089174
".80",".2","OCV",0.255548056190555,0.0356262028665983
".80",".3","OCV",0.260629516993035,0.0304693970086089
".80",".4","OCV",0.261502216204075,0.0264475726148498
".80",".5","OCV",0.235657930719416,0.0256780914739938
".80",".6","OCV",0.211051627124031,0.0284862245879415
".80",".7","OCV",0.185870367038794,0.0249197335814607
".80",".8","OCV",0.163642710347036,0.0198242289611618
".80",".9","OCV",0.142113721908207,0.0224222455001656
".80","1","OCV",0.1194,0.0174938180519197
".85",".01","OCV",0.0357545392067737,0.048087493313392
".85",".1","OCV",0.23267881191442,0.0444268697984883
".85",".2","OCV",0.287298812738365,0.036742814926615
".85",".3","OCV",0.282925084944188,0.0316434843764508
".85",".4","OCV",0.255685249906032,0.0275224894587438
".85",".5","OCV",0.234186851276345,0.0238129480485982
".85",".6","OCV",0.197602937468081,0.0225788542020188
".85",".7","OCV",0.17192073235677,0.0232460718094444
".85",".8","OCV",0.143380381004219,0.0196859154776474
".85",".9","OCV",0.120928705826668,0.0174740137359869
".85","1","OCV",0.101966666666667,0.0174663055453969
".90",".01","OCV",0.0476730716588087,0.0482240531993532
".90",".1","OCV",0.297550940153173,0.0396044973896848
".90",".2","OCV",0.312137075696422,0.0331116095056839
".90",".3","OCV",0.288479909473033,0.0291197503457833
".90",".4","OCV",0.245883706034331,0.0261404247804891
".90",".5","OCV",0.199617558210562,0.0235666755851745
".90",".6","OCV",0.167481993613542,0.0215105070708571
".90",".7","OCV",0.144870942710638,0.0201360790122783
".90",".8","OCV",0.109609058209592,0.0168713628775737
".90",".9","OCV",0.0910597696561936,0.0154652312234261
".90","1","OCV",0.0651333333333333,0.0144671150762947
".95",".01","OCV",0.0816265204098341,0.0519186470168591
".95",".1","OCV",0.357676661961631,0.0357289593754158
".95",".2","OCV",0.322486799220103,0.0287166689309484
".95",".3","OCV",0.256427474094183,0.0289740563978355
".95",".4","OCV",0.192311245468865,0.0227877856727421
".95",".5","OCV",0.150533524623661,0.0215131452163108
".95",".6","OCV",0.122024488856238,0.0174897791106071
".95",".7","OCV",0.0945215952880596,0.0166480939822373
".95",".8","OCV",0.0720797914693468,0.013998585248807
".95",".9","OCV",0.0529858700257099,0.0124515552142765
".95","1","OCV",0.0355333333333333,0.0114711368625919
"1",".01","OCV",0.101843327971337,0.0418081541521438
"1",".1","OCV",0.415607367899513,0.0314991154410715
"1",".2","OCV",0.239698800142539,0.022966534644041
"1",".3","OCV",0.150716380401133,0.020836493094097
"1",".4","OCV",0.094834745671073,0.0164874990784466
"1",".5","OCV",0.0679117542647194,0.0148551200276552
"1",".6","OCV",0.0481652177283605,0.0107835211617489
"1",".7","OCV",0.033949503101123,0.0103740976056674
"1",".8","OCV",0.0179740815099628,0.00674246026459289
"1",".9","OCV",0.00949249416221987,0.00604729180592991
"1","1","OCV",0,0
