Phi,P,variable,value,SD
0.7,0.01,Transient,1,0
0.7,0.1,Transient,0.999646991,0.00202152
0.7,0.2,Transient,0.997569322,0.004063966
0.7,0.3,Transient,0.994193664,0.005532487
0.7,0.4,Transient,0.992956538,0.005687886
0.7,0.5,Transient,0.987996144,0.007017694
0.7,0.6,Transient,0.984469497,0.007968287
0.7,0.7,Transient,0.982100059,0.007735204
0.7,0.8,Transient,0.979188482,0.009043587
0.7,0.9,Transient,0.977762317,0.009242761
0.7,1,Transient,0.977566667,0.008630786
0.75,0.01,Transient,1,0
0.75,0.1,Transient,0.999855072,0.001449275
0.75,0.2,Transient,0.996963559,0.004817694
0.75,0.3,Transient,0.991211128,0.006652622
0.75,0.4,Transient,0.983930014,0.006923087
0.75,0.5,Transient,0.976294209,0.009673128
0.75,0.6,Transient,0.97111926,0.010592645
0.75,0.7,Transient,0.967232923,0.011716506
0.75,0.8,Transient,0.964301991,0.011953961
0.75,0.9,Transient,0.962992993,0.011667811
0.75,1,Transient,0.9583,0.01140515
0.8,0.01,Transient,1,0
0.8,0.1,Transient,0.999129772,0.002790144
0.8,0.2,Transient,0.99342144,0.006236661
0.8,0.3,Transient,0.98480437,0.008514683
0.8,0.4,Transient,0.973781013,0.011318963
0.8,0.5,Transient,0.956441712,0.012943934
0.8,0.6,Transient,0.946404242,0.014052347
0.8,0.7,Transient,0.934227347,0.014056421
0.8,0.8,Transient,0.930624764,0.014577383
0.8,0.9,Transient,0.930673788,0.0145198
0.8,1,Transient,0.928033333,0.015264926
0.85,0.01,Transient,1,0
0.85,0.1,Transient,0.998944447,0.002882175
0.85,0.2,Transient,0.98826627,0.00784706
0.85,0.3,Transient,0.968202007,0.011505169
0.85,0.4,Transient,0.945918614,0.014255677
0.85,0.5,Transient,0.925831626,0.015058028
0.85,0.6,Transient,0.896484235,0.019343208
0.85,0.7,Transient,0.888314222,0.017346691
0.85,0.8,Transient,0.877580808,0.018647885
0.85,0.9,Transient,0.875279051,0.0202443
0.85,1,Transient,0.872266667,0.018385326
0.9,0.01,Transient,1,0
0.9,0.1,Transient,0.99683887,0.004496453
0.9,0.2,Transient,0.976587396,0.011159469
0.9,0.3,Transient,0.939108906,0.016010643
0.9,0.4,Transient,0.895672609,0.018225299
0.9,0.5,Transient,0.84449362,0.022493383
0.9,0.6,Transient,0.812444245,0.022225773
0.9,0.7,Transient,0.790237581,0.022770348
0.9,0.8,Transient,0.761736724,0.024901019
0.9,0.9,Transient,0.762589224,0.024094126
0.9,1,Transient,0.757066667,0.024551099
0.95,0.01,Transient,1,0
0.95,0.1,Transient,0.99062544,0.00706725
0.95,0.2,Transient,0.952153286,0.01435486
0.95,0.3,Transient,0.879978168,0.021450886
0.95,0.4,Transient,0.781718462,0.026273087
0.95,0.5,Transient,0.701784813,0.025736347
0.95,0.6,Transient,0.6543856,0.028113578
0.95,0.7,Transient,0.60122651,0.03120257
0.95,0.8,Transient,0.579921696,0.026042731
0.95,0.9,Transient,0.566077221,0.029924876
0.95,1,Transient,0.564666667,0.028811084
1,0.01,Transient,0.999761905,0.002380952
1,0.1,Transient,0.976243618,0.010169478
1,0.2,Transient,0.87152069,0.020726334
1,0.3,Transient,0.715240523,0.024545742
1,0.4,Transient,0.516878907,0.025332426
1,0.5,Transient,0.403672522,0.027484003
1,0.6,Transient,0.311640644,0.023632434
1,0.7,Transient,0.277016499,0.025828841
1,0.8,Transient,0.23857001,0.0235517
1,0.9,Transient,0.224657471,0.025517563
1,1,Transient,0.224066667,0.025891858
0.7,0.01,Seasonal.resident,0,0
0.7,0.1,Seasonal.resident,0,0
0.7,0.2,Seasonal.resident,0,0
0.7,0.3,Seasonal.resident,0,0
0.7,0.4,Seasonal.resident,0,0
0.7,0.5,Seasonal.resident,0,0
0.7,0.6,Seasonal.resident,0,0
0.7,0.7,Seasonal.resident,7.53E-05,0.000529989
0.7,0.8,Seasonal.resident,0,0
0.7,0.9,Seasonal.resident,3.46E-05,0.000346021
0.7,1,Seasonal.resident,3.33E-05,0.000333333
0.75,0.01,Seasonal.resident,0,0
0.75,0.1,Seasonal.resident,0,0
0.75,0.2,Seasonal.resident,7.41E-05,0.000740741
0.75,0.3,Seasonal.resident,0,0
0.75,0.4,Seasonal.resident,0.000372191,0.0012695
0.75,0.5,Seasonal.resident,0.000126088,0.000720685
0.75,0.6,Seasonal.resident,0.000118582,0.000677697
0.75,0.7,Seasonal.resident,0.000185922,0.000814613
0.75,0.8,Seasonal.resident,0.000144623,0.000712301
0.75,0.9,Seasonal.resident,0.00013818,0.00084153
0.75,1,Seasonal.resident,0.000233333,0.000854775
