"Var1","Var2","value","SE"
"p01","Phi70",1,0
"p10","Phi70",1.0580337555312,0.312697086245301
"p20","Phi70",3.03031305603825,1.11216822693281
"p30","Phi70",5.47734781002789,1.31561003754656
"p40","Phi70",6.8947307177079,1.42866201552727
"p50","Phi70",5.64591254323201,2.76048745988463
"p60","Phi70",5.33996457607907,1.02753150648763
"p70","Phi70",6.07533792352914,1.62880113963973
"p80","Phi70",4.9071194867199,2.47195136743813
"p90","Phi70",3.66217549610533,1.83390848603378
"p100","Phi70",3.34833333333333,1.08702886901181
"p01","Phi75",1,0
"p10","Phi75",1.30066740623253,0.606086945758365
"p20","Phi75",4.29154640182464,1.41656937112071
"p30","Phi75",6.49390298152711,1.69325647237625
"p40","Phi75",4.99929060276272,2.75628072495112
"p50","Phi75",5.62364256556067,1.38102431625831
"p60","Phi75",5.8187650616338,2.05816219223543
"p70","Phi75",3.60983995854814,1.88020057151369
"p80","Phi75",3.10650964877395,0.220574847028916
"p90","Phi75",3.16314719397228,0.473724609653487
"p100","Phi75",3.3721,1.20562287714091
"p01","Phi80",1,0
"p10","Phi80",1.91484108594188,1.09924460123789
"p20","Phi80",5.94247664463343,1.11359370024089
"p30","Phi80",4.58276087008766,2.44846766895405
"p40","Phi80",5.19610006730184,1.1437487423111
"p50","Phi80",5.08880769017818,2.72320407358294
"p60","Phi80",3.02243518257421,0.21028295913186
"p70","Phi80",3.04613705213304,0.529544081508535
"p80","Phi80",3.33601472487149,0.868368821525436
"p90","Phi80",3.54999026821817,0.726490925975727
"p100","Phi80",3.56703333333333,0.583019520207309
"p01","Phi85",1.01,0.1
"p10","Phi85",3.24173438428169,1.02542933727617
"p20","Phi85",5.99721514080931,2.1208775780355
"p30","Phi85",4.24497519029603,0.978878044513524
"p40","Phi85",3.34781186432515,1.48303658810494
"p50","Phi85",3.23514666075103,1.41704855623443
"p60","Phi85",3.17830382459892,0.505353170360116
"p70","Phi85",3.36902476574946,0.544659129034574
"p80","Phi85",3.36040118265233,0.288730246549048
"p90","Phi85",3.33886097463114,0.2315417938245
"p100","Phi85",3.36816666666667,0.235181413846058
"p01","Phi90",1,0
"p10","Phi90",4.80323421617044,1.44684502427049
"p20","Phi90",3.68586911101992,0.732921739732441
"p30","Phi90",3.09794911522679,0.938746693603152
"p40","Phi90",3.19902304170945,1.16386446304833
"p50","Phi90",3.2704663952382,0.351502733474678
"p60","Phi90",3.21572163496339,0.203302621876739
"p70","Phi90",3.25556693983486,0.1740010644068
"p80","Phi90",3.25258172046621,0.275199650747594
"p90","Phi90",3.32715710400157,0.279793582500202
"p100","Phi90",3.36103333333333,0.184504490043576
"p01","Phi95",1,0
"p10","Phi95",4.49251560064386,2.39005450153218
"p20","Phi95",2.91477971010896,0.328615159023378
"p30","Phi95",3.23219097485243,0.470503722374033
"p40","Phi95",3.1110914155982,0.159625734867755
"p50","Phi95",3.17948507889788,0.291497492960859
"p60","Phi95",3.28004614159184,0.18982096174348
"p70","Phi95",3.27439875762974,0.237197495687912
"p80","Phi95",3.30776287077612,0.221741635359236
"p90","Phi95",3.37860015772915,0.207276682974156
"p100","Phi95",3.37136666666667,0.172259751531678
"p01","Phi100",1,0
"p10","Phi100",4.2096280067413,1.583458971774
"p20","Phi100",3.47483334119974,0.497839699774983
"p30","Phi100",3.57303990020858,0.285322271060168
"p40","Phi100",3.74083115223143,0.259688260144805
"p50","Phi100",3.70451558693905,0.289590609023922
"p60","Phi100",3.78345604472763,0.214542611922838
"p70","Phi100",3.81954128802451,0.249339294777802
"p80","Phi100",3.79799008049684,0.236383130256634
"p90","Phi100",3.80831156284227,0.23838894103096
"p100","Phi100",3.78973333333333,0.262901738972297
