Phi,P,variable,value,SE
0.7,0.01,OCV,0.998181818,0.01279139
0.7,0.1,OCV,0.988231937,0.011945468
0.7,0.2,OCV,0.958966814,0.017585567
0.7,0.3,OCV,0.937068503,0.019007933
0.7,0.4,OCV,0.91919877,0.019305043
0.7,0.5,OCV,0.900109638,0.017326304
0.7,0.6,OCV,0.882468339,0.022174772
0.7,0.7,OCV,0.874794088,0.022480888
0.7,0.8,OCV,0.862419039,0.022243143
0.7,0.9,OCV,0.857840513,0.021471545
0.7,1,OCV,0.854633333,0.021033323
0.75,0.01,OCV,1,0
0.75,0.1,OCV,0.975914722,0.015312348
0.75,0.2,OCV,0.939802009,0.019219067
0.75,0.3,OCV,0.903267222,0.021964631
0.75,0.4,OCV,0.873739448,0.021368166
0.75,0.5,OCV,0.850137153,0.024726553
0.75,0.6,OCV,0.833043299,0.02178698
0.75,0.7,OCV,0.823859614,0.024233931
0.75,0.8,OCV,0.810521424,0.024101236
0.75,0.9,OCV,0.80458496,0.02112837
0.75,1,OCV,0.799166667,0.026902889
0.8,0.01,OCV,0.999285714,0.007142857
0.8,0.1,OCV,0.963437409,0.020490306
0.8,0.2,OCV,0.902634677,0.021347984
0.8,0.3,OCV,0.853304486,0.0230532
0.8,0.4,OCV,0.819132993,0.025592295
0.8,0.5,OCV,0.786017252,0.024658823
0.8,0.6,OCV,0.764526227,0.025346
0.8,0.7,OCV,0.748056993,0.024511146
0.8,0.8,OCV,0.735089408,0.027129202
0.8,0.9,OCV,0.725313865,0.027581845
0.8,1,OCV,0.723833333,0.026596604
0.85,0.01,OCV,1,0
0.85,0.1,OCV,0.9351731,0.023547472
0.85,0.2,OCV,0.845677212,0.031538636
0.85,0.3,OCV,0.780419673,0.026619238
0.85,0.4,OCV,0.730527247,0.028574598
0.85,0.5,OCV,0.699981434,0.029028245
0.85,0.6,OCV,0.665590902,0.029188321
0.85,0.7,OCV,0.656397462,0.028249853
0.85,0.8,OCV,0.636563033,0.028846163
0.85,0.9,OCV,0.635911625,0.027769821
0.85,1,OCV,0.6304,0.022638921
