"Var1","Var2","value","SE"
"p01","Phi70",0.00141518175745131,0.00405743749737777
"p10","Phi70",0.0200329735901151,0.00579121821107624
"p20","Phi70",0.0382490232034342,0.00627265373047861
"p30","Phi70",0.0530184899240271,0.00607654258263609
"p40","Phi70",0.0631902596836455,0.00589970829553161
"p50","Phi70",0.0737589135712553,0.0057108958124044
"p60","Phi70",0.0834554602642383,0.0071594990178352
"p70","Phi70",0.089696157827128,0.00694793421422867
"p80","Phi70",0.0968848823944344,0.00718365238046156
"p90","Phi70",0.103021513043949,0.00755452180287758
"p100","Phi70",0.107594275525293,0.00720039149099281
"p01","Phi75",0.00245722927521175,0.00541943611476088
"p10","Phi75",0.0271340181316616,0.00655269451522782
"p20","Phi75",0.0487085429908111,0.00749434909462584
"p30","Phi75",0.0667924030229548,0.00784795411311226
"p40","Phi75",0.0812378436423412,0.00688845720383513
"p50","Phi75",0.0939190700072204,0.00748755528213292
"p60","Phi75",0.10313993692254,0.00679851387855921
"p70","Phi75",0.111316747008598,0.0076018422599562
"p80","Phi75",0.118846593882616,0.00771797434244393
"p90","Phi75",0.125168169990819,0.00839209215491557
"p100","Phi75",0.132388246847261,0.00899965940072542
"p01","Phi80",0.00385294975637323,0.00599767632992254
"p10","Phi80",0.035618469033746,0.00725312254333653
"p20","Phi80",0.0649753288846718,0.00743131301769649
"p30","Phi80",0.0856908283911349,0.00746699671531409
"p40","Phi80",0.102547185277528,0.0082789590669298
"p50","Phi80",0.118403073072901,0.00752204534863479
"p60","Phi80",0.130905153356898,0.00802083212890726
"p70","Phi80",0.143505838472076,0.0088132524473933
"p80","Phi80",0.150569454465911,0.00887214873249133
"p90","Phi80",0.158422723675894,0.00910158744997306
"p100","Phi80",0.164164608860447,0.0101314149944779
"p01","Phi85",0.00568097164243428,0.00767248958435582
"p10","Phi85",0.0483276482587385,0.00853708152493794
"p20","Phi85",0.0841555977780999,0.00870821832157405
"p30","Phi85",0.112858182743348,0.00818639086361511
"p40","Phi85",0.136047637633105,0.0088120492136686
"p50","Phi85",0.153493162703068,0.00966684065655365
"p60","Phi85",0.172164458135827,0.0106440645177672
"p70","Phi85",0.181958943836632,0.00955890903027915
"p80","Phi85",0.194944497560108,0.0100304203061301
"p90","Phi85",0.202133823657532,0.0116858343281957
"p100","Phi85",0.209871011792736,0.0088979175828073
"p01","Phi90",0.00726739111961212,0.00702903440362828
"p10","Phi90",0.0670262064989528,0.00795367590343351
"p20","Phi90",0.115719938443759,0.00955757864500319
"p30","Phi90",0.15260703010215,0.00912891975607603
"p40","Phi90",0.183268808002515,0.0108910553740604
"p50","Phi90",0.21028974362981,0.0114176120085874
"p60","Phi90",0.228918936957583,0.0112167398979245
"p70","Phi90",0.245977896969612,0.012652524942511
"p80","Phi90",0.266069422698469,0.0127224707502221
"p90","Phi90",0.274776372303762,0.0132377358206718
"p100","Phi90",0.286988081100201,0.0140786538468196
"p01","Phi95",0.0114198980256791,0.00737338190996359
"p10","Phi95",0.0952835290598983,0.0087600496154864
"p20","Phi95",0.161048394687781,0.00993491452603516
"p30","Phi95",0.212345349979922,0.00983971318868852
"p40","Phi95",0.26167456434971,0.0121349915625688
"p50","Phi95",0.29864399343204,0.0109782266183538
"p60","Phi95",0.321659620059302,0.0129340514389341
"p70","Phi95",0.35466861712614,0.0176019000260653
"p80","Phi95",0.375204815969584,0.0148129789174285
"p90","Phi95",0.397884091204211,0.0148458190884087
"p100","Phi95",0.412382877803368,0.0171802481726865
"p01","Phi100",0.0151033632034048,0.00613895484726972
"p10","Phi100",0.142379995143228,0.00721395107407283
"p20","Phi100",0.246141118508907,0.00910401822839777
"p30","Phi100",0.319310832237715,0.00920331605481065
"p40","Phi100",0.398338385331383,0.00849024471129922
"p50","Phi100",0.443043807869718,0.0118511479420609
"p60","Phi100",0.499845512456846,0.012972128718839
"p70","Phi100",0.525819874355182,0.0160368081286971
"p80","Phi100",0.582108947648028,0.0165259088139639
"p90","Phi100",0.618953628738763,0.016074204168144
"p100","Phi100",0.649114276425064,0.0170514977808038
