"Var1","Var2","value","SE"
"p01","Phi70",0.0282233094837262,0.00119598767508882
"p10","Phi70",0.0333989425761919,0.00156661105222074
"p20","Phi70",0.0396724370203573,0.0019485530987536
"p30","Phi70",0.0457450422722166,0.00208494991767779
"p40","Phi70",0.05106503387034,0.00217997942550164
"p50","Phi70",0.0572753219948309,0.00249367146506277
"p60","Phi70",0.0635787145930632,0.00325640862624579
"p70","Phi70",0.0691516414518244,0.00349645218750486
"p80","Phi70",0.0753976448016993,0.00371612989940623
"p90","Phi70",0.0818327756344353,0.00426114080545872
"p100","Phi70",0.0874712962962963,0.00431967863369002
"p01","Phi75",0.0283958804675717,0.00124327083584374
"p10","Phi75",0.0351874214368469,0.00180970073170802
"p20","Phi75",0.0425816693490075,0.00230064050770282
"p30","Phi75",0.0501711037957593,0.00268838687787179
"p40","Phi75",0.0577897699330715,0.00270345310214187
"p50","Phi75",0.0656090927705142,0.00322087048072445
"p60","Phi75",0.0724933092863209,0.0033248823156211
"p70","Phi75",0.0796432528601109,0.00395225591793109
"p80","Phi75",0.0871261315032724,0.00418596712358758
"p90","Phi75",0.0945912933096364,0.00501869671122361
"p100","Phi75",0.103194444444444,0.00564747348058542
"p01","Phi80",0.0285784085175617,0.00126127810405679
"p10","Phi80",0.0371762696525097,0.00194027923202317
"p20","Phi80",0.0473823786710754,0.0022952410477222
"p30","Phi80",0.0566728692486251,0.0027475130275621
"p40","Phi80",0.0656847594136403,0.00343058542518777
"p50","Phi80",0.076010575312943,0.0035100465305343
"p60","Phi80",0.0855358216306452,0.00423068212573378
"p70","Phi80",0.096702266261004,0.00478126079362099
"p80","Phi80",0.105140157576568,0.00511773053624664
"p90","Phi80",0.115036822120126,0.00560849901234274
"p100","Phi80",0.12412962962963,0.00682934291300881
"p01","Phi85",0.0289790787228585,0.00161488773493877
"p10","Phi85",0.0405325565948217,0.00228069904201958
"p20","Phi85",0.0532766896725588,0.00291322254106855
"p30","Phi85",0.0663594960923557,0.00327218429550154
"p40","Phi85",0.079547390642656,0.003987074834012
"p50","Phi85",0.0919260019987858,0.0046987146760023
"p60","Phi85",0.106604409803017,0.00557947269131275
"p70","Phi85",0.11789509439978,0.00553918332991039
"p80","Phi85",0.132085914056435,0.00606273022490237
"p90","Phi85",0.143486932732585,0.00785147452112985
"p100","Phi85",0.156125925925926,0.00645887136436246
"p01","Phi90",0.029401990376305,0.00152965600968558
"p10","Phi90",0.0457224565892548,0.00221071627240879
"p20","Phi90",0.0645632940132973,0.00341728005418055
"p30","Phi90",0.0826270884834967,0.00398175550140572
"p40","Phi90",0.101385028308253,0.00561293334978397
"p50","Phi90",0.121651677165429,0.0063272102259517
"p60","Phi90",0.139299433012729,0.00624065404246226
"p70","Phi90",0.157442585350447,0.00818969016396617
"p80","Phi90",0.180540611279975,0.00891936829735832
"p90","Phi90",0.196007280344186,0.00978021169404937
"p100","Phi90",0.215615740740741,0.0111073021202229
"p01","Phi95",0.0302406767768711,0.001531784484427
"p10","Phi95",0.0551188053105754,0.00277942544148037
"p20","Phi95",0.0823920508067575,0.00446025845872619
"p30","Phi95",0.110263052163854,0.00492907866399249
"p40","Phi95",0.14427129140944,0.00746398751995731
"p50","Phi95",0.175125392980863,0.00721686735498569
"p60","Phi95",0.198774496732716,0.00897615649618115
"p70","Phi95",0.235363341917359,0.0126637399668988
"p80","Phi95",0.264505974163293,0.0121992384697822
"p90","Phi95",0.296927126572252,0.0126001980864962
"p100","Phi95",0.325318518518519,0.0153871585822673
"p01","Phi100",0.0312465925858529,0.00148578252939507
"p10","Phi100",0.0736192454006066,0.00299190967894135
"p20","Phi100",0.126330864397379,0.00453097735013929
"p30","Phi100",0.173274633391715,0.00557609853244209
"p40","Phi100",0.237558374429333,0.0061941218301248
"p50","Phi100",0.278692789504339,0.00868069090465321
"p60","Phi100",0.340497747799251,0.0110609481576959
"p70","Phi100",0.374691474145146,0.0139711748498818
"p80","Phi100",0.449706355880273,0.0158176749974404
"p90","Phi100",0.507339384758798,0.016070688458849
"p100","Phi100",0.561550925925926,0.0170484211414852
