Phi,P,variable,value,SE
0.7,0.01,LSR,1,0
0.7,0.1,LSR,0.99575621,0.007686239
0.7,0.2,LSR,0.972650521,0.013862007
0.7,0.3,LSR,0.940335855,0.018750158
0.7,0.4,LSR,0.905919292,0.019500427
0.7,0.5,LSR,0.864754477,0.020530885
0.7,0.6,LSR,0.819322552,0.026199617
0.7,0.7,LSR,0.787532574,0.026418433
0.7,0.8,LSR,0.747983637,0.026661272
0.7,0.9,LSR,0.712041663,0.026879804
0.7,1,LSR,0.680066667,0.028264345
0.75,0.01,LSR,1,0
0.75,0.1,LSR,0.990701402,0.010267396
0.75,0.2,LSR,0.958868595,0.017263584
0.75,0.3,LSR,0.912855407,0.024142549
0.75,0.4,LSR,0.857731257,0.022622948
0.75,0.5,LSR,0.806885616,0.024744429
0.75,0.6,LSR,0.764546073,0.025900934
0.75,0.7,LSR,0.72067495,0.029347074
0.75,0.8,LSR,0.678555454,0.026352786
0.75,0.9,LSR,0.646630686,0.028793329
0.75,1,LSR,0.609066667,0.029492832
0.8,0.01,LSR,1,0
0.8,0.1,LSR,0.984952275,0.012176957
0.8,0.2,LSR,0.928991461,0.019734833
0.8,0.3,LSR,0.865489148,0.022441021
0.8,0.4,LSR,0.80652245,0.0243242
0.8,0.5,LSR,0.744469652,0.023962182
0.8,0.6,LSR,0.688857039,0.027196102
0.8,0.7,LSR,0.637161994,0.029956457
0.8,0.8,LSR,0.596666184,0.030314714
0.8,0.9,LSR,0.562316853,0.030163165
0.8,1,LSR,0.5313,0.027637606
0.85,0.01,LSR,1,0
0.85,0.1,LSR,0.969167296,0.015624822
0.85,0.2,LSR,0.887969987,0.0262399
0.85,0.3,LSR,0.80062034,0.02674674
0.85,0.4,LSR,0.71745693,0.027337685
0.85,0.5,LSR,0.654582351,0.028660208
0.85,0.6,LSR,0.589226487,0.033220448
0.85,0.7,LSR,0.544975546,0.030476426
0.85,0.8,LSR,0.501753799,0.028440994
0.85,0.9,LSR,0.466170973,0.029818069
0.85,1,LSR,0.438866667,0.024945372
0.9,0.01,LSR,1,0
0.9,0.1,LSR,0.943444075,0.019146081
0.9,0.2,LSR,0.809954266,0.029280069
0.9,0.3,LSR,0.701631752,0.02722161
0.9,0.4,LSR,0.606908506,0.031770294
0.9,0.5,LSR,0.526677056,0.031000862
0.9,0.6,LSR,0.475764974,0.030143428
0.9,0.7,LSR,0.42715716,0.029442581
0.9,0.8,LSR,0.382747475,0.0298732
0.9,0.9,LSR,0.355696932,0.030299468
0.9,1,LSR,0.324766667,0.024633133
0.95,0.01,LSR,1,0
0.95,0.1,LSR,0.880322093,0.02475928
0.95,0.2,LSR,0.68632884,0.033623213
0.95,0.3,LSR,0.544105071,0.029941784
0.95,0.4,LSR,0.433165111,0.028693266
0.95,0.5,LSR,0.362924761,0.025702338
0.95,0.6,LSR,0.320766641,0.026745864
0.95,0.7,LSR,0.278204094,0.029426923
0.95,0.8,LSR,0.250097221,0.025020792
0.95,0.9,LSR,0.223432115,0.023519247
0.95,1,LSR,0.206166667,0.023332732
1,0.01,LSR,0.998646761,0.004995529
1,0.1,LSR,0.740095569,0.033185802
1,0.2,LSR,0.404530859,0.03034825
1,0.3,LSR,0.277439307,0.025890722
1,0.4,LSR,0.19205063,0.020657184
1,0.5,LSR,0.15944171,0.023355293
1,0.6,LSR,0.132255043,0.020476432
1,0.7,LSR,0.116363988,0.023008737
1,0.8,LSR,0.096381376,0.018051205
1,0.9,LSR,0.083981632,0.016463509
1,1,LSR,0.0731,0.015708162
0.7,0.01,MSR,0,0
0.7,0.1,MSR,0.00424379,0.007686239
0.7,0.2,MSR,0.027349479,0.013862007
0.7,0.3,MSR,0.059664145,0.018750158
0.7,0.4,MSR,0.093830435,0.019438721
0.7,0.5,MSR,0.133959422,0.020667162
0.7,0.6,MSR,0.178103445,0.026186645
0.7,0.7,MSR,0.206854526,0.02521905
0.7,0.8,MSR,0.241918875,0.026255103
