"Var1","Var2","value","SE"
"p01","Phi70",0.333636363636364,0.00303030303030303
"p10","Phi70",0.344876849220877,0.00695045469571136
"p20","Phi70",0.352029952509838,0.00636566669982368
"p30","Phi70",0.357475087925754,0.00636316484884119
"p40","Phi70",0.360290172442617,0.00656376175903177
"p50","Phi70",0.363903412544403,0.00574974234133043
"p60","Phi70",0.36670312392566,0.00730788828216713
"p70","Phi70",0.369102579518797,0.00676395484188244
"p80","Phi70",0.372154186214454,0.00651309932334021
"p90","Phi70",0.372428093711196,0.00682258371699573
"p100","Phi70",0.372244444444444,0.00624953920236728
"p01","Phi75",0.334661172161172,0.0058814751418407
"p10","Phi75",0.350308668984296,0.00805636584420181
"p20","Phi75",0.359342350466279,0.00732265826050717
"p30","Phi75",0.36525280073121,0.00785632762061896
"p40","Phi75",0.37118152374292,0.00761518364556838
"p50","Phi75",0.373685273875131,0.0071311971740779
"p60","Phi75",0.377593063568731,0.0068425018064672
"p70","Phi75",0.378802806610219,0.00804885897624377
"p80","Phi75",0.380826676122812,0.00690494787959336
"p90","Phi75",0.384210842605131,0.00715724846228956
"p100","Phi75",0.383988888888889,0.00767382024462239
"p01","Phi80",0.336108352656004,0.0079406716753905
"p10","Phi80",0.357920274694339,0.00951193646042492
"p20","Phi80",0.371189361458352,0.0086212378969244
"p30","Phi80",0.380711082064167,0.00801261011313278
"p40","Phi80",0.386930276521275,0.00858645851072306
"p50","Phi80",0.3895205857806,0.00817674977389327
"p60","Phi80",0.393624292092759,0.00874096355196581
"p70","Phi80",0.396064306928199,0.00821332503717703
"p80","Phi80",0.398984823362091,0.0080540145878645
"p90","Phi80",0.40207835354768,0.00792111794886533
"p100","Phi80",0.401433333333333,0.00774692453529661
"p01","Phi85",0.337272446150515,0.00872181206625287
"p10","Phi85",0.372801479755366,0.0116905216523017
"p20","Phi85",0.394039283330544,0.0116792037252293
"p30","Phi85",0.405926813313371,0.0089110729283793
"p40","Phi85",0.409245561942955,0.0103198493020476
"p50","Phi85",0.416180386274588,0.0101899933492474
"p60","Phi85",0.4193654960576,0.00997538367487016
"p70","Phi85",0.422344988085462,0.0101115103222686
"p80","Phi85",0.424548923418934,0.0091748160314085
"p90","Phi85",0.425380523057932,0.00929292916837665
"p100","Phi85",0.427288888888889,0.00990580401764866
"p01","Phi90",0.343493070544781,0.0116457010760164
"p10","Phi90",0.397995777433492,0.0122016094348864
"p20","Phi90",0.428476000567817,0.0125749489526245
"p30","Phi90",0.442453129916897,0.0113833867665248
"p40","Phi90",0.450789332183003,0.0131563852016336
"p50","Phi90",0.458241905173698,0.0120557982088828
"p60","Phi90",0.460735135489918,0.0106489769066472
"p70","Phi90",0.464886409159349,0.0117552213871928
"p80","Phi90",0.467267864835223,0.0103392779930613
"p90","Phi90",0.467252876455593,0.0105418121432824
"p100","Phi90",0.468466666666667,0.0109081119401122
"p01","Phi95",0.34904141151537,0.0137056165129031
"p10","Phi95",0.450438388368115,0.0136027115839182
"p20","Phi95",0.493477168746365,0.0148699082823964
"p30","Phi95",0.512893236610803,0.0130747595998385
"p40","Phi95",0.530595156242051,0.01586410217237
"p50","Phi95",0.53680800726692,0.0122252367200541
"p60","Phi95",0.535600433471646,0.0150829875609363
"p70","Phi95",0.542498338159255,0.0167237690578115
"p80","Phi95",0.542193083744179,0.0142125142304967
"p90","Phi95",0.547678888304594,0.0124261780137926
"p100","Phi95",0.546677777777778,0.0146391053146876
"p01","Phi100",0.356616904005295,0.0127023721324958
"p10","Phi100",0.556458978307418,0.0162344268014601
"p20","Phi100",0.650021094891193,0.0159271957530564
"p30","Phi100",0.662023910248427,0.0152913857312954
"p40","Phi100",0.693665276961976,0.0125759592175478
"p50","Phi100",0.676358789765601,0.0154249136345302
"p60","Phi100",0.692094698342047,0.0154847001950131
"p70","Phi100",0.673502323506061,0.0182095534991579
"p80","Phi100",0.695107239437192,0.0169169035100116
"p90","Phi100",0.699253617531377,0.0159542787706278
"p100","Phi100",0.699566666666667,0.0145967921968052
