"Var1","Var2","value","SE"
"p01","Phi70",0.010156746031746,0.0306678034303785
"p10","Phi70",0.099564030318564,0.0286871201732196
"p20","Phi70",0.186377296753056,0.0267138793463468
"p30","Phi70",0.26703681045671,0.0300296209744472
"p40","Phi70",0.333603859664324,0.0270373263687306
"p50","Phi70",0.397210197541425,0.0268983248705613
"p60","Phi70",0.45704518842678,0.0274328778194407
"p70","Phi70",0.515896957521926,0.0284929992369514
"p80","Phi70",0.568984819765911,0.0253034576047829
"p90","Phi70",0.630301404627821,0.0260826821087617
"p100","Phi70",0.683766666666667,0.0275022904872058
"p01","Phi75",0.0118104582645024,0.0272733557260074
"p10","Phi75",0.113592193131553,0.0275916526223488
"p20","Phi75",0.203380018671667,0.0319574587378686
"p30","Phi75",0.286701400258023,0.0257609705614899
"p40","Phi75",0.358974710785556,0.0237612582772048
"p50","Phi75",0.431280070668553,0.029579148486437
"p60","Phi75",0.486673838677648,0.0256427672572942
"p70","Phi75",0.552048245817004,0.0282311099404367
"p80","Phi75",0.611193084360643,0.0249443409333612
"p90","Phi75",0.671067453138107,0.0279845896966103
"p100","Phi75",0.729466666666667,0.0266528583778212
"p01","Phi80",0.00902852059621192,0.0183281252318425
"p10","Phi80",0.124951449632818,0.0280895242841835
"p20","Phi80",0.228777357417899,0.0247762841457939
"p30","Phi80",0.307739395719033,0.0256345842056133
"p40","Phi80",0.388287752772822,0.0269599221295396
"p50","Phi80",0.449176007155643,0.0251605614698193
"p60","Phi80",0.520732167432076,0.0247983906011676
"p70","Phi80",0.592623360530687,0.0214775966576821
"p80","Phi80",0.652293080720266,0.0282835635212782
"p90","Phi80",0.716254306042478,0.0244966840370541
"p100","Phi80",0.775566666666667,0.0256981310486568
"p01","Phi85",0.0132683367646028,0.0224655821617034
"p10","Phi85",0.137761311185943,0.0266042256659727
"p20","Phi85",0.240640069761205,0.0265215923669322
"p30","Phi85",0.328138242604451,0.0230870979244026
"p40","Phi85",0.405743707059968,0.0248062768536688
"p50","Phi85",0.482785624504269,0.0245572531348101
"p60","Phi85",0.552995126429065,0.0248405751545785
"p70","Phi85",0.625007402389551,0.023712135042241
"p80","Phi85",0.694107304057675,0.0195250851527873
"p90","Phi85",0.757969462420891,0.0223925715038606
"p100","Phi85",0.827333333333333,0.019204142837743
"p01","Phi90",0.0183042551466138,0.0247510116629146
"p10","Phi90",0.155780700772924,0.0220161288120887
"p20","Phi90",0.256447657608492,0.0197116771206386
"p30","Phi90",0.344208627754248,0.0199681091549698
"p40","Phi90",0.428290105396218,0.0194830120952754
"p50","Phi90",0.506305069590127,0.0220018991004804
"p60","Phi90",0.582408609107427,0.0212805244128765
"p70","Phi90",0.657979555373847,0.0203065775819259
"p80","Phi90",0.735197677505685,0.0222497545439059
"p90","Phi90",0.803879395923495,0.0193661401094223
"p100","Phi90",0.875533333333333,0.0196502528092075
"p01","Phi95",0.0175881882049604,0.0151257238931826
"p10","Phi95",0.162792040617411,0.0180223880318487
"p20","Phi95",0.265412758665424,0.0196818955337837
"p30","Phi95",0.355000718620432,0.0179511110465898
"p40","Phi95",0.442061627334285,0.0178584338148493
"p50","Phi95",0.523540074521226,0.0171609249197775
"p60","Phi95",0.603924713482235,0.0179306905108683
"p70","Phi95",0.686064945335154,0.0167563361993932
"p80","Phi95",0.76767420298198,0.0184826238668951
"p90","Phi95",0.847672944838056,0.0155391267602679
"p100","Phi95",0.927933333333333,0.0157190541834424
"p01","Phi100",0.0249336100743408,0.013208971008075
"p10","Phi100",0.165940771979797,0.0128665811756075
"p20","Phi100",0.261273669743135,0.0125107201243037
"p30","Phi100",0.353000105210696,0.0137832012503589
"p40","Phi100",0.439863246146557,0.0118377393715508
"p50","Phi100",0.529481130048806,0.0125861268317052
"p60","Phi100",0.618602326388782,0.0118371954137739
"p70","Phi100",0.707491127686629,0.0112321064199068
"p80","Phi100",0.795937157337428,0.011173334255015
"p90","Phi100",0.886025415184124,0.00906539587483211
"p100","Phi100",0.976833333333333,0.00865052887583468
