"Var1","Var2","value","SE"
"p01","Phi70",0.0306210317460317,0.0939497685166846
"p10","Phi70",0.513661280647774,0.173960843216463
"p20","Phi70",0.946031191955057,0.187963867363314
"p30","Phi70",1.23404292514954,0.159364440742446
"p40","Phi70",1.42176796790143,0.157515931807375
"p50","Phi70",1.60367949481706,0.138147708622905
"p60","Phi70",1.77509774724693,0.172095649855263
"p70","Phi70",1.86566651547281,0.15971754096566
"p80","Phi70",1.98992841256164,0.165772042704069
"p90","Phi70",2.08635097172818,0.170620824865915
"p100","Phi70",2.14896666666667,0.155508430812841
"p01","Phi75",0.0633800904977376,0.152946068005656
"p10","Phi75",0.76313370408554,0.211046522409934
"p20","Phi75",1.27828761344449,0.215401342942942
"p30","Phi75",1.64815622808115,0.236110555744987
"p40","Phi75",1.91557805079627,0.185501754942273
"p50","Phi75",2.12824160710558,0.200380158822273
"p60","Phi75",2.27231496417755,0.168051201143738
"p70","Phi75",2.39335638938383,0.181292511641553
"p80","Phi75",2.5044189035129,0.183827272113259
"p90","Phi75",2.59488129622995,0.193423389661137
"p100","Phi75",2.715,0.203309045301075
"p01","Phi80",0.1483599342507,0.283576036500672
"p10","Phi80",1.10664477968288,0.287721017976146
"p20","Phi80",1.83113157226813,0.23834892430635
"p30","Phi80",2.25693079020779,0.255751246415198
"p40","Phi80",2.54926562815765,0.246023863393638
"p50","Phi80",2.84646634996556,0.214602839052119
"p60","Phi80",3.0246236912307,0.229198930915608
"p70","Phi80",3.23236345585482,0.233140188483306
"p80","Phi80",3.29579253555234,0.215498884068495
"p90","Phi80",3.4048583409039,0.219203368807441
"p100","Phi80",3.46866666666667,0.245856344868317
"p01","Phi85",0.247625101828295,0.396115873119358
"p10","Phi85",1.72828981056949,0.360917612398414
"p20","Phi85",2.64986436561465,0.329063244732082
"p30","Phi85",3.27281621811895,0.296748945614294
"p40","Phi85",3.6893164560055,0.307289664702226
"p50","Phi85",3.91151212270894,0.305275872084962
"p60","Phi85",4.23866750893726,0.320864534081779
"p70","Phi85",4.30043918000784,0.268150714021969
"p80","Phi85",4.49454486228703,0.268660679715401
"p90","Phi85",4.54044756506181,0.309069038812603
"p100","Phi85",4.62053333333333,0.232519369117049
"p01","Phi90",0.374036724816868,0.39978410129394
"p10","Phi90",2.8226277825778,0.421812787368478
"p20","Phi90",4.28376297181309,0.456469702570845
"p30","Phi90",5.02613356281866,0.414294407960428
"p40","Phi90",5.54517355383519,0.440901988309015
"p50","Phi90",5.97932121057812,0.413708966386394
"p60","Phi90",6.15873425527775,0.370943260466905
"p70","Phi90",6.30070986451503,0.393211431588505
"p80","Phi90",6.64926793805618,0.3877438197112
"p90","Phi90",6.63564994100239,0.393797607601016
"p100","Phi90",6.76216666666667,0.399862876328023
"p01","Phi95",0.802842744264987,0.620986178064168
"p10","Phi95",5.15030373538991,0.51439966344283
"p20","Phi95",7.08501171988941,0.529697763176611
"p30","Phi95",8.09879026575368,0.4992119663562
"p40","Phi95",9.22151071011968,0.592391491333618
"p50","Phi95",9.73712475783745,0.484498499330533
"p60","Phi95",9.66854729252624,0.519551238681486
"p70","Phi95",10.2791318632801,0.638468826126365
"p80","Phi95",10.4261368112625,0.539941365476653
"p90","Phi95",10.6605107716934,0.501516544581915
"p100","Phi95",10.7114666666667,0.553937708961623
"p01","Phi100",1.13390259967634,0.59544123543894
"p10","Phi100",10.1081969054083,0.684755222139856
"p20","Phi100",14.3120400548781,0.62377038224751
"p30","Phi100",15.3612438643352,0.569267768313856
"p40","Phi100",17.4257878246135,0.495928130984329
"p50","Phi100",17.1098683522364,0.599430543580281
"p60","Phi100",18.1037071538753,0.638569288637117
"p70","Phi100",17.4265447562478,0.689959916299405
"p80","Phi100",18.7386678625027,0.6943565622341
"p90","Phi100",19.0617540302341,0.637538751816186
"p100","Phi100",19.2158333333333,0.613743161093467
