Phi,P,variable,value,SE
0.7,0.01,Rare,1,0
0.7,0.1,Rare,1,0
0.7,0.2,Rare,0.999458504,0.00198738
0.7,0.3,Rare,0.997955772,0.003407477
0.7,0.4,Rare,0.996556944,0.004601995
0.7,0.5,Rare,0.993938903,0.005639216
0.7,0.6,Rare,0.991851417,0.006038582
0.7,0.7,Rare,0.989825803,0.005655308
0.7,0.8,Rare,0.988899643,0.006444604
0.7,0.9,Rare,0.987194076,0.006346
0.7,1,Rare,0.985933333,0.006348997
0.75,0.01,Rare,1,0
0.75,0.1,Rare,0.99962744,0.002135249
0.75,0.2,Rare,0.997969988,0.003632839
0.75,0.3,Rare,0.996244022,0.004518242
0.75,0.4,Rare,0.992248386,0.005634926
0.75,0.5,Rare,0.989905198,0.006107679
0.75,0.6,Rare,0.986090798,0.007308913
0.75,0.7,Rare,0.985158334,0.00639559
0.75,0.8,Rare,0.982076379,0.00783388
0.75,0.9,Rare,0.980128963,0.008019412
0.75,1,Rare,0.9787,0.008785957
0.8,0.01,Rare,1,0
0.8,0.1,Rare,0.999777668,0.001564559
0.8,0.2,Rare,0.996652038,0.004335495
0.8,0.3,Rare,0.990458324,0.006665845
0.8,0.4,Rare,0.984672879,0.008587959
0.8,0.5,Rare,0.978673861,0.00951324
0.8,0.6,Rare,0.976298445,0.009655465
0.8,0.7,Rare,0.974075428,0.008592828
0.8,0.8,Rare,0.972846964,0.011297232
0.8,0.9,Rare,0.967976527,0.010200945
0.8,1,Rare,0.966466667,0.011099186
0.85,0.01,Rare,1,0
0.85,0.1,Rare,0.999156461,0.002545134
0.85,0.2,Rare,0.991788844,0.006486425
0.85,0.3,Rare,0.979497332,0.010863238
0.85,0.4,Rare,0.968762284,0.011101554
0.85,0.5,Rare,0.960242866,0.010438598
0.85,0.6,Rare,0.958648022,0.011865206
0.85,0.7,Rare,0.954383465,0.011556997
0.85,0.8,Rare,0.952627917,0.013235508
0.85,0.9,Rare,0.948995613,0.015320046
0.85,1,Rare,0.9465,0.012926235
0.9,0.01,Rare,1,0
0.9,0.1,Rare,0.998162664,0.004139443
0.9,0.2,Rare,0.977711036,0.010850538
0.9,0.3,Rare,0.948189147,0.015183374
0.9,0.4,Rare,0.927565502,0.01772154
0.9,0.5,Rare,0.923579805,0.01794042
0.9,0.6,Rare,0.922456215,0.015888721
0.9,0.7,Rare,0.917230001,0.015863775
0.9,0.8,Rare,0.908843628,0.015563848
0.9,0.9,Rare,0.905440439,0.017066503
0.9,1,Rare,0.896366667,0.015714163
0.95,0.01,Rare,1,0
0.95,0.1,Rare,0.99540796,0.004764537
0.95,0.2,Rare,0.949433003,0.015578853
0.95,0.3,Rare,0.889480959,0.018756932
0.95,0.4,Rare,0.839469723,0.024626478
0.95,0.5,Rare,0.833884889,0.022660266
0.95,0.6,Rare,0.845528003,0.022965034
0.95,0.7,Rare,0.822301194,0.024007536
0.95,0.8,Rare,0.80833146,0.02339758
0.95,0.9,Rare,0.786764307,0.021777473
