"Var1","Var2","value","SE"
"p01","Phi70",0.0841249549062049,0.00291769813867868
"p10","Phi70",0.0942383810262046,0.00373895512271052
"p20","Phi70",0.1048362755055,0.003953463825141
"p30","Phi70",0.112979708738222,0.00407995352199797
"p40","Phi70",0.118391846878768,0.00407417208049923
"p50","Phi70",0.124760528272643,0.00381333044697168
"p60","Phi70",0.12939520417804,0.00482321165675287
"p70","Phi70",0.132605355341181,0.0047961706192669
"p80","Phi70",0.136196228438037,0.00475144652782567
"p90","Phi70",0.137856046407711,0.00490401625941655
"p100","Phi70",0.138702777777778,0.0043111057236131
"p01","Phi75",0.0844922557698293,0.00298041084720632
"p10","Phi75",0.0985867345714794,0.0041152279083211
"p20","Phi75",0.11129073034439,0.00459688368328524
"p30","Phi75",0.122144652284676,0.0053224841017432
"p40","Phi75",0.130464908821588,0.00497028766365245
"p50","Phi75",0.137752036692122,0.00543754242263475
"p60","Phi75",0.142595296271736,0.00451393762606111
"p70","Phi75",0.145934176495514,0.00527426667366855
"p80","Phi75",0.149222242736817,0.00542115925967029
"p90","Phi75",0.151864262018838,0.0051230737256252
"p100","Phi75",0.153883333333333,0.0056885018676223
"p01","Phi80",0.0855037440712035,0.00356093389887211
"p10","Phi80",0.103697910976462,0.00500448878464146
"p20","Phi80",0.121959206049682,0.00499292471951738
"p30","Phi80",0.135001287067649,0.00565558240252741
"p40","Phi80",0.145605267996647,0.00607083148452544
"p50","Phi80",0.155614657329846,0.00568061811662947
"p60","Phi80",0.162104734068649,0.00614472015325525
"p70","Phi80",0.168280785960232,0.00629322846704312
"p80","Phi80",0.17112708494525,0.00637519287056803
"p90","Phi80",0.173976178775782,0.00623770961000077
"p100","Phi80",0.174930555555556,0.00682944911185871
"p01","Phi85",0.0863128782672311,0.00400729110944935
"p10","Phi85",0.112364626579109,0.00581270917993318
"p20","Phi85",0.136357390568479,0.00640575880618519
"p30","Phi85",0.155913990511886,0.00677582239089288
"p40","Phi85",0.171388907482487,0.00700974816375637
"p50","Phi85",0.182168030354114,0.00805061678030795
"p60","Phi85",0.193724071772287,0.00866949689198793
"p70","Phi85",0.197354388814052,0.00759416213861457
"p80","Phi85",0.202837654480818,0.00730955895720546
"p90","Phi85",0.204298416013895,0.00848330427866684
"p100","Phi85",0.206161111111111,0.0068472297632584
"p01","Phi90",0.0874761406587756,0.0042349983343737
"p10","Phi90",0.125801775915783,0.00579239880510048
"p20","Phi90",0.162069435731441,0.00815197541992006
"p30","Phi90",0.190318778596778,0.00842180444564332
"p40","Phi90",0.21307473310486,0.0104071639114542
"p50","Phi90",0.232207356364017,0.0106427843331064
"p60","Phi90",0.242329605170871,0.00969084262965943
"p70","Phi90",0.250189071098571,0.0109139531511525
"p80","Phi90",0.259970933913246,0.0107630495383073
"p90","Phi90",0.25946650072827,0.0108714579318452
"p100","Phi90",0.261663888888889,0.0110993551023805
"p01","Phi95",0.0904271986945751,0.00461358504788306
"p10","Phi95",0.150958948103601,0.00714196446057661
"p20","Phi95",0.205390525872202,0.00974233034721432
"p30","Phi95",0.249079227385197,0.010219638347378
"p40","Phi95",0.294606351645948,0.0133313074757339
"p50","Phi95",0.322792470621147,0.0118796137191466
"p60","Phi95",0.33229149907357,0.0141256813310401
"p70","Phi95",0.353637310267992,0.0166270224873026
"p80","Phi95",0.359709541563679,0.0146109143124641
"p90","Phi95",0.366073231526599,0.0134382242051487
"p100","Phi95",0.36585,0.0149824178870222
"p01","Phi100",0.0927997366214419,0.00440039812821245
"p10","Phi100",0.200024659433938,0.00764810257706247
"p20","Phi100",0.310417974822385,0.0107230345613263
"p30","Phi100",0.383434276544822,0.0115305364705086
"p40","Phi100",0.471646053908519,0.0113657298314131
"p50","Phi100",0.497317417945624,0.0151445355359265
"p60","Phi100",0.544204486662462,0.0166664197151093
"p70","Phi100",0.538374947684234,0.0188320356453753
"p80","Phi100",0.576819211761292,0.0187579340927423
"p90","Phi100",0.585184808636767,0.017510384302457
"p100","Phi100",0.586583333333333,0.0168894805038443
